onset	duration	trial_type	response_time	correct	stim_file
9.3	1.2	Infrequent	0.6	100	196.png
21.2	1.2	Frequent  	0.5	100	47.png
33.2	1.2	Frequent  	0.5	100	86.png
45.5	1.2	Frequent  	0.5	100	244.png
57.2	1.2	Frequent  	0.5	100	196.png
69.5	1.2	Frequent  	0.5	100	244.png
81.2	1.2	Frequent  	0.5	100	244.png
93.3	1.2	Frequent  	0.4	100	196.png
105.3	1.2	Infrequent	0.6	100	86.png
117.3	1.2	Frequent  	0.6	100	47.png
129.2	1.2	Frequent  	0.4	100	196.png
141.2	1.2	Frequent  	0.4	100	196.png
153.2	1.2	Frequent  	0.8	100	86.png
165.2	1.2	Infrequent	1.1	100	47.png
177.7	1.2	Frequent  	0.4	100	244.png
189.3	1.2	Frequent  	0.7	100	47.png
201.2	1.2	Frequent  	0.6	100	86.png
213.2	1.2	Frequent  	0.4	100	196.png
225.3	1.2	Frequent  	0.7	100	86.png
237.2	1.2	Frequent  	0.6	100	47.png
249.2	1.2	Infrequent	0.6	100	244.png
261.2	1.2	Frequent  	0.4	100	244.png
273.2	1.2	Frequent  	0.6	100	47.png
285.2	1.2	Frequent  	0.5	100	86.png
