onset	duration	trial_type	response_time	correct	stim_file
9.4	1.2	Frequent  	0.7	100	113.png
21.4	1.2	Frequent  	0.5	100	142.png
33.5	1.2	Frequent  	0.5	100	221.png
45.2	1.2	Frequent  	0.8	100	113.png
57.2	1.2	Frequent  	0.6	100	142.png
69.2	1.2	Frequent  	0.7	100	139.png
81.5	1.2	Frequent  	0.4	100	139.png
93.2	1.2	Infrequent	0.7	100	139.png
105.3	1.2	Frequent  	0.5	100	221.png
117.2	1.2	Frequent  	0.4	100	221.png
129.3	1.2	Frequent  	0.7	100	113.png
141.2	1.2	Frequent  	0.7	100	139.png
153.2	1.2	Infrequent	0.6	100	221.png
165.2	1.2	Frequent  	1.0	100	139.png
177.2	1.2	Frequent  	0.6	100	113.png
189.3	1.2	Frequent  	0.5	100	142.png
201.2	1.2	Frequent  	0.5	100	221.png
213.6	1.2	Frequent  	0.4	100	221.png
225.3	1.2	Frequent  	0.5	100	142.png
237.3	1.2	Frequent  	0.6	100	139.png
249.3	1.2	Infrequent	0.5	100	142.png
261.2	1.2	Frequent  	0.8	100	113.png
273.4	1.2	Infrequent	0.8	100	113.png
285.2	1.2	Frequent  	0.6	100	142.png
