onset	duration	trial_type	response_time	correct	stim_file
9.3	1.2	Frequent  	0.7	100	215.png
21.2	1.2	Frequent  	0.5	100	7.png
33.4	1.2	Frequent  	0.5	100	215.png
45.2	1.2	Infrequent	1.1	100	215.png
57.2	1.2	Frequent  	0.5	100	224.png
69.2	1.2	Frequent  	0.5	100	7.png
81.3	1.2	Frequent  	0.5	100	224.png
93.2	1.2	Frequent  	0.5	100	112.png
105.2	1.2	Frequent  	0.5	100	224.png
117.2	1.2	Frequent  	0.6	100	215.png
129.2	1.2	Frequent  	0.5	100	215.png
141.2	1.2	Frequent  	0.5	100	224.png
153.3	1.2	Frequent  	0.5	100	215.png
165.3	1.2	Infrequent	0.6	100	7.png
177.2	1.2	Frequent  	0.7	100	7.png
189.3	1.2	Frequent  	0.5	100	112.png
201.2	1.2	Frequent  	0.6	100	7.png
213.2	1.2	Frequent  	0.5	100	112.png
225.2	1.2	Frequent  	0.5	100	224.png
237.3	1.2	Frequent  	0.4	100	112.png
249.2	1.2	Infrequent	0.6	100	224.png
261.6	1.2	Frequent  	0.6	100	7.png
273.2	1.2	Infrequent	0.5	100	112.png
285.2	1.2	Frequent  	0.5	100	112.png
