onset	duration	trial_type	response_time	correct	stim_file
9.3	1.2	Infrequent	0.8	100	197.png
21.2	1.2	Frequent  	0.5	100	28.png
33.2	1.2	Frequent  	0.7	100	120.png
45.2	1.2	Frequent  	0.9	100	16.png
57.2	1.2	Infrequent	0.7	100	16.png
69.2	1.2	Frequent  	0.5	100	197.png
81.2	1.2	Frequent  	0.5	100	28.png
93.3	1.2	Frequent  	0.5	100	28.png
105.3	1.2	Frequent  	0.5	100	197.png
117.5	1.2	Frequent  	0.5	100	28.png
129.2	1.2	Frequent  	0.7	100	16.png
141.3	1.2	Frequent  	0.6	100	16.png
153.2	1.2	Frequent  	0.6	0	120.png
165.2	1.2	Frequent  	0.5	100	197.png
177.2	1.2	Frequent  	0.7	100	16.png
189.2	1.2	Frequent  	0.5	100	197.png
201.3	1.2	Frequent  	0.4	100	28.png
213.2	1.2	Frequent  	0.3	0	16.png
225.4	1.2	Frequent  	1.1	0	120.png
237.2	1.2	Frequent  	0.6	100	197.png
249.2	1.2	Infrequent	1.1	100	28.png
261.2	1.2	Infrequent	1.2	100	120.png
273.2	1.2	Frequent  	1.1	100	120.png
285.2	1.2	Frequent  	1.1	100	120.png
