onset	duration	trial_type	response_time	correct	stim_file
9.4	1.2	Infrequent	0.7	100	120.png
21.4	1.2	Frequent  	1.5	100	16.png
33.2	1.2	Frequent  	0.6	100	28.png
45.2	1.2	Frequent  	0.9	100	16.png
57.2	1.2	Frequent  	0.6	100	197.png
69.2	1.2	Frequent  	0.5	100	28.png
81.2	1.2	Frequent  	1.3	100	120.png
93.2	1.2	Frequent  	0.7	100	120.png
105.3	1.2	Frequent  	0.8	100	16.png
117.2	1.2	Frequent  	0.7	0	120.png
129.2	1.2	Infrequent	0.9	100	16.png
141.2	1.2	Frequent  	0.8	100	120.png
153.6	1.2	Frequent  	0.7	100	16.png
165.2	1.2	Frequent  	0.5	100	28.png
177.2	1.2	Frequent  	1.0	0	16.png
189.2	1.2	Frequent  	0.7	0	120.png
201.2	1.2	Infrequent	1.2	0	197.png
213.3	1.2	Frequent  	0.0	0	197.png
225.2	1.2	Frequent  	0.5	100	28.png
237.3	1.2	Infrequent	0.5	100	28.png
249.2	1.2	Frequent  	0.5	100	28.png
261.4	1.2	Frequent  	0.5	100	197.png
273.2	1.2	Frequent  	0.5	100	197.png
285.4	1.2	Frequent  	0.5	100	197.png
