onset	duration	trial_type	response_time	correct	stim_file
9.3	1.2	Frequent  	0.7	100	136.png
21.2	1.2	Infrequent	0.6	100	237.png
33.4	1.2	Frequent  	0.5	100	23.png
45.2	1.2	Frequent  	0.6	100	136.png
57.2	1.2	Frequent  	0.5	0	136.png
69.3	1.2	Frequent  	0.5	100	49.png
81.2	1.2	Frequent  	0.7	100	237.png
93.2	1.2	Frequent  	0.5	100	23.png
105.2	1.2	Frequent  	0.7	100	237.png
117.2	1.2	Frequent  	0.8	100	136.png
129.2	1.2	Infrequent	0.4	100	49.png
141.2	1.2	Frequent  	0.3	100	49.png
153.2	1.2	Frequent  	0.6	0	237.png
165.3	1.2	Frequent  	0.5	100	237.png
177.3	1.2	Frequent  	0.5	100	49.png
189.2	1.2	Infrequent	0.6	100	136.png
201.4	1.2	Frequent  	0.4	100	49.png
213.2	1.2	Frequent  	0.4	100	49.png
225.2	1.2	Frequent  	0.5	100	23.png
237.2	1.2	Frequent  	0.4	100	23.png
249.2	1.2	Frequent  	0.8	100	136.png
261.4	1.2	Frequent  	0.0	0	23.png
273.2	1.2	Frequent  	1.0	100	237.png
285.4	1.2	Infrequent	0.4	100	23.png
