onset	duration	trial_type	response_time	correct	stim_file
9.3	1.2	Infrequent	0.9	100	100.png
21.4	1.2	Frequent  	0.7	100	151.png
33.2	1.2	Frequent  	0.7	100	151.png
45.2	1.2	Frequent  	0.5	100	132.png
57.2	1.2	Frequent  	0.6	100	100.png
69.2	1.2	Frequent  	0.9	100	73.png
81.2	1.2	Infrequent	0.6	100	73.png
93.3	1.2	Frequent  	0.5	100	73.png
105.3	1.2	Frequent  	0.0	0	100.png
117.2	1.2	Frequent  	0.5	100	132.png
129.3	1.2	Frequent  	0.8	100	151.png
141.4	1.2	Frequent  	0.4	100	151.png
153.3	1.2	Infrequent	0.8	100	151.png
165.2	1.2	Frequent  	0.7	100	100.png
177.2	1.2	Frequent  	0.7	100	132.png
189.3	1.2	Frequent  	0.6	100	73.png
201.2	1.2	Frequent  	0.5	100	73.png
213.2	1.2	Frequent  	0.7	100	100.png
225.2	1.2	Frequent  	0.5	100	132.png
237.2	1.2	Frequent  	0.4	100	73.png
249.3	1.2	Frequent  	0.5	100	132.png
261.2	1.2	Infrequent	0.6	100	132.png
273.2	1.2	Frequent  	0.6	100	151.png
285.2	1.2	Frequent  	1.1	100	100.png
