onset	duration	trial_type	response_time	correct	stim_file
9.3	1.2	Frequent  	0.6	100	86.png
21.2	1.2	Frequent  	0.3	100	244.png
33.2	1.2	Frequent  	0.4	100	244.png
45.2	1.2	Frequent  	0.4	100	196.png
57.2	1.2	Frequent  	0.4	100	196.png
69.2	1.2	Frequent  	0.3	100	196.png
81.3	1.2	Infrequent	0.5	100	86.png
93.3	1.2	Frequent  	0.4	100	86.png
105.2	1.2	Frequent  	0.4	100	244.png
117.2	1.2	Frequent  	0.5	100	47.png
129.2	1.2	Frequent  	0.6	100	47.png
141.2	1.2	Frequent  	0.5	100	47.png
153.2	1.2	Infrequent	0.6	100	47.png
165.3	1.2	Frequent  	0.4	100	196.png
177.2	1.2	Frequent  	0.7	100	86.png
189.2	1.2	Infrequent	0.5	100	244.png
201.4	1.2	Frequent  	0.7	100	47.png
213.3	1.2	Frequent  	0.4	100	244.png
225.3	1.2	Frequent  	0.4	100	86.png
237.2	1.2	Frequent  	0.3	100	244.png
249.2	1.2	Infrequent	0.5	100	196.png
261.2	1.2	Frequent  	0.5	100	196.png
273.2	1.2	Frequent  	0.7	100	47.png
285.4	1.2	Frequent  	0.4	100	86.png
