onset	duration	trial_type	response_time	correct	stim_file
9.3	1.2	Frequent  	0.5	100	252.png
21.4	1.2	Frequent  	0.9	100	110.png
33.2	1.2	Frequent  	0.6	100	78.png
45.4	1.2	Frequent  	0.6	100	124.png
57.5	1.2	Frequent  	0.6	100	78.png
69.3	1.2	Frequent  	0.5	100	124.png
81.2	1.2	Infrequent	0.6	100	252.png
93.3	1.2	Frequent  	0.4	100	78.png
105.3	1.2	Frequent  	0.6	100	252.png
117.2	1.2	Infrequent	0.6	100	110.png
129.3	1.2	Frequent  	0.6	100	110.png
141.2	1.2	Frequent  	0.4	100	252.png
153.2	1.2	Frequent  	0.4	100	78.png
165.2	1.2	Frequent  	0.5	100	110.png
177.2	1.2	Frequent  	0.4	100	78.png
189.2	1.2	Frequent  	0.3	100	124.png
201.2	1.2	Frequent  	0.5	100	110.png
213.4	1.2	Frequent  	0.5	100	110.png
225.2	1.2	Infrequent	0.5	100	78.png
237.2	1.2	Frequent  	0.4	100	124.png
249.2	1.2	Infrequent	0.3	100	124.png
261.2	1.2	Frequent  	0.5	100	124.png
273.4	1.2	Frequent  	0.6	100	252.png
285.2	1.2	Frequent  	0.5	100	252.png
