onset	duration	trial_type	response_time	correct	stim_file
9.3	1.2	Frequent  	0.6	100	247.png
21.2	1.2	Frequent  	0.7	100	202.png
33.2	1.2	Frequent  	0.7	100	66.png
45.2	1.2	Frequent  	0.8	100	66.png
57.2	1.2	Frequent  	0.9	100	22.png
69.2	1.2	Infrequent	0.7	100	22.png
81.5	1.2	Frequent  	0.6	100	22.png
93.3	1.2	Frequent  	0.8	100	66.png
105.2	1.2	Frequent  	1.3	100	202.png
117.2	1.2	Infrequent	1.3	100	66.png
129.2	1.2	Frequent  	0.6	100	247.png
141.3	1.2	Frequent  	0.6	100	22.png
153.2	1.2	Frequent  	0.7	100	66.png
165.2	1.2	Frequent  	0.9	100	202.png
177.2	1.2	Frequent  	0.6	100	247.png
189.3	1.2	Frequent  	0.7	100	202.png
201.3	1.2	Infrequent	0.9	100	202.png
213.3	1.2	Frequent  	0.9	100	202.png
225.6	1.2	Frequent  	0.7	100	247.png
237.2	1.2	Infrequent	0.8	100	247.png
249.3	1.2	Frequent  	0.7	100	66.png
261.4	1.2	Frequent  	0.7	100	247.png
273.4	1.2	Frequent  	0.7	100	22.png
285.2	1.2	Frequent  	0.6	100	22.png
