onset	duration	trial_type	response_time	correct	stim_file
9.4	1.2	Frequent  	0.3	100	84.png
21.6	1.2	Frequent  	0.4	100	129.png
33.2	1.2	Infrequent	0.5	100	84.png
45.2	1.2	Frequent  	0.5	100	205.png
57.2	1.2	Frequent  	0.5	100	21.png
69.3	1.2	Frequent  	0.6	100	129.png
81.3	1.2	Frequent  	0.5	100	21.png
93.2	1.2	Infrequent	0.6	0	21.png
105.2	1.2	Frequent  	0.7	100	129.png
117.2	1.2	Frequent  	0.6	100	205.png
129.2	1.2	Frequent  	0.4	100	21.png
141.4	1.2	Frequent  	0.4	100	129.png
153.2	1.2	Frequent  	0.3	100	84.png
165.2	1.2	Frequent  	0.4	100	84.png
177.2	1.2	Frequent  	0.4	100	21.png
189.2	1.2	Frequent  	0.4	100	205.png
201.2	1.2	Frequent  	0.3	100	129.png
213.3	1.2	Frequent  	0.3	100	205.png
225.3	1.2	Infrequent	0.3	0	205.png
237.2	1.2	Frequent  	0.4	100	205.png
249.2	1.2	Frequent  	0.5	100	84.png
261.4	1.2	Frequent  	0.4	100	21.png
273.2	1.2	Frequent  	0.3	100	84.png
285.2	1.2	Infrequent	0.6	100	129.png
